SampleID,Treat,Seasonal,group
JAQ219Y2,10,Autumn,2021
QHZ219Y1,10,Autumn,2021
QHZ219Y2,10,Autumn,2021
SJZ219Y1,10,Autumn,2021
SJZ219Y2,10,Autumn,2021
BJN11Y1,11,Autumn,2021
BJN11Y2,11,Autumn,2021
BJN11Y3,11,Autumn,2021
BJX11Y1,11,Autumn,2021
BJX11Y2,11,Autumn,2021
BJX11Y3,11,Autumn,2021
BYHX11Y1,11,Autumn,2021
BYHX11Y2,11,Autumn,2021
BYHX11Y3,11,Autumn,2021
CQN11Y1,11,Autumn,2021
CQN11Y2,11,Autumn,2021
CQN11Y3,11,Autumn,2021
GZF11Y1,11,Autumn,2021
GZF11Y2,11,Autumn,2021
GZF11Y3,11,Autumn,2021
HDHZ11Y1,11,Autumn,2021
HDHZ11Y2,11,Autumn,2021
HDHZ11Y3,11,Autumn,2021
JAQ11Y1,11,Autumn,2021
JAQ11Y3,11,Autumn,2021
JAQ11Y,11,Autumn,2021
QHZ11Y1,11,Autumn,2021
QHZ11Y2,11,Autumn,2021
QHZ11Y3,11,Autumn,2021
SYZ11Y1,11,Autumn,2021
SYZ11Y2,11,Autumn,2021
SYZ11Y3,11,Autumn,2021
SJZ11Y1,11,Autumn,2021
SJZ11Y2,11,Autumn,2021
SJZ11Y3,11,Autumn,2021
XZM11Y1,11,Autumn,2021
XZM11Y2,11,Autumn,2021
XZM11Y3,11,Autumn,2021
YFZ11Y1,11,Autumn,2021
YFZ11Y2,11,Autumn,2021
YFZ11Y3,11,Autumn,2021
BJN12Y1,12,Winter,2021
BJN12Y2,12,Winter,2021
BJN12Y3,12,Winter,2021
BJX12Y1,12,Winter,2021
BJX12Y2,12,Winter,2021
BJX12Y3,12,Winter,2021
BJZ12Y1,12,Winter,2021
BJZ12Y2,12,Winter,2021
BJZ12Y3,12,Winter,2021
BYHX12Y1,12,Winter,2021
BYHX12Y2,12,Winter,2021
BYHX12Y3,12,Winter,2021
CQZ12Y1,12,Winter,2021
CQZ12Y2,12,Winter,2021
CQZ12Y3,12,Winter,2021
CQN12Y1,12,Winter,2021
CQN12Y2,12,Winter,2021
CQN12Y3,12,Winter,2021
DZM12Y1,12,Winter,2021
DZM12Y2,12,Winter,2021
DZM12Y3,12,Winter,2021
GZF12Y1,12,Winter,2021
GZF12Y2,12,Winter,2021
GZF12Y3,12,Winter,2021
HDHZ12Y1,12,Winter,2021
HDHZ12Y2,12,Winter,2021
HDHZ12Y3,12,Winter,2021
JAQ12Y1,12,Winter,2021
JAQ12Y2,12,Winter,2021
JAQ12Y3,12,Winter,2021
QHZ12Y1,12,Winter,2021
QHZ12Y2,12,Winter,2021
QHZ12Y3,12,Winter,2021
SYZ12Y1,12,Winter,2021
SYZ12Y2,12,Winter,2021
SYZ12Y3,12,Winter,2021
SJZ12Y1,12,Winter,2021
SJZ12Y2,12,Winter,2021
SJZ12Y3,12,Winter,2021
XZM12Y1,12,Winter,2021
XZM12Y2,12,Winter,2021
XZM12Y3,12,Winter,2021
YFZ12Y1,12,Winter,2021
YFZ12Y2,12,Winter,2021
YFZ12Y3,12,Winter,2021
